age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
1.75,Private,-0.6731575507009239,HS-grad,-0.3333333333333333,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,2346.0,0.0,0.0,,<=50K
0.15,Private,1.1308085917820996,Some-college,0.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.2,Private,0.4007152879262895,7th-8th,-2.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,0.6,Mexico,<=50K
-0.55,Private,-0.3122244288729843,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.75,Private,0.6865556679698397,11th,-1.0,Never-married,Sales,Unmarried,White,Female,0.0,0.0,-3.0,United-States,<=50K
0.5,Private,0.1628549897369922,Some-college,0.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.85,Private,1.4104703496916935,HS-grad,-0.3333333333333333,Never-married,Other-service,Unmarried,Black,Female,0.0,0.0,-3.0,United-States,<=50K
-0.6,Private,0.4562645982438391,Some-college,0.0,Never-married,Farming-fishing,Unmarried,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.3,Private,0.6984632551013186,HS-grad,-0.3333333333333333,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,0.0,United-States,<=50K
0.45,Private,-0.0650046006586644,HS-grad,-0.3333333333333333,Separated,Transport-moving,Not-in-family,White,Male,0.0,0.0,0.0,United-States,<=50K
0.0,Local-gov,1.3731821153037476,HS-grad,-0.3333333333333333,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,0.0,United-States,<=50K
-0.4,Private,0.07772823222293,Some-college,0.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
-0.25,Private,0.1771274403267508,Bachelors,1.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.0,United-States,<=50K
2.2,Private,-0.5974985740039886,5th-6th,-2.333333333333333,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,-6.8,United-States,<=50K
