age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
-0.1,Private,-0.57465765686997,HS-grad,-0.3333333333333333,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,0.0,,<=50K
-0.95,,-0.9188951757618148,HS-grad,-0.3333333333333333,Never-married,,Own-child,White,Female,0.0,0.0,4.0,United-States,<=50K
0.5,Federal-gov,1.6819050474013564,HS-grad,-0.3333333333333333,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,0.0,United-States,<=50K
-0.7,Private,-0.1681509515660975,Some-college,0.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
0.0,Private,-0.3306104095627084,HS-grad,-0.3333333333333333,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.1,Private,0.6600925127923292,Assoc-voc,0.3333333333333333,Never-married,Craft-repair,Own-child,Black,Male,0.0,0.0,0.0,United-States,<=50K
0.6,Self-emp-inc,-0.9376975056519404,HS-grad,-0.3333333333333333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,4.0,United-States,<=50K
0.65,Self-emp-not-inc,-1.2275098570673195,Assoc-voc,0.3333333333333333,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
0.35,Private,-1.232547682392176,Some-college,0.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,0.0,United-States,<=50K
-0.2,Private,0.5959747359305196,HS-grad,-0.3333333333333333,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,1.0,United-States,<=50K
-0.5,Private,0.5686955363202225,11th,-1.0,Divorced,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,0.0,United-States,<=50K
-0.9,Private,0.3688895550476095,Some-college,0.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,-6.0,United-States,<=50K
-0.05,Private,-0.1647202341547903,HS-grad,-0.3333333333333333,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,2.0,United-States,<=50K
0.6,Self-emp-not-inc,0.0283325630873125,Assoc-acdm,0.6666666666666666,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,-2.0,Columbia,<=50K
0.15,Local-gov,-0.8593072782003722,Some-college,0.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,0.0,United-States,<=50K
1.55,Self-emp-not-inc,0.1571343517234775,HS-grad,-0.3333333333333333,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,1.0,United-States,<=50K
-0.3,Private,-0.1082216476603256,HS-grad,-0.3333333333333333,Separated,Exec-managerial,Unmarried,White,Female,0.0,0.0,-5.6,United-States,<=50K
-0.6,Private,-0.5795789044187141,Bachelors,1.0,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,-1.0,United-States,<=50K
1.8,Private,-0.3813300691556022,7th-8th,-2.0,Widowed,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,-4.4,United-States,<=50K
-0.3,Local-gov,0.4026055132961117,Bachelors,1.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,1.0,United-States,<=50K
-0.2,Private,0.1990690431879025,Masters,1.3333333333333333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
0.9,Private,-0.3047301432657598,HS-grad,-0.3333333333333333,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.45,Private,0.275119388133215,Some-college,0.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,2.0,United-States,<=50K
-0.3,Local-gov,1.4972708309913692,Assoc-acdm,0.6666666666666666,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,-4.0,United-States,<=50K
-0.8,Private,1.9395502595937264,Some-college,0.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,-1.0,United-States,<=50K
-0.9,Self-emp-inc,-0.0667782482523742,HS-grad,-0.3333333333333333,Never-married,Sales,Own-child,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.1,Private,-0.8356336626655508,HS-grad,-0.3333333333333333,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0.0,0.0,0.0,,<=50K
-0.5,Private,-0.0510902103812509,Bachelors,1.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,0.0,United-States,<=50K
-0.1,Self-emp-not-inc,0.5317070733565656,Bachelors,1.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,1.0,United-States,<=50K
0.5,Private,0.7655371112859778,7th-8th,-2.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.55,Private,0.0335868899963777,Some-college,0.0,Married-civ-spouse,Craft-repair,Husband,White,Male,2829.0,0.0,0.0,United-States,<=50K
0.25,Local-gov,0.2637447279782499,Bachelors,1.0,Divorced,Prof-specialty,Other-relative,White,Female,0.0,0.0,3.0,United-States,<=50K
0.0,Private,1.1209910776366354,HS-grad,-0.3333333333333333,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,0.0,United-States,<=50K
-0.1,Private,-0.9545679752522036,Assoc-voc,0.3333333333333333,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
-0.6,Private,-0.5416328382941341,HS-grad,-0.3333333333333333,Separated,Craft-repair,Not-in-family,Black,Male,0.0,0.0,0.0,United-States,<=50K
0.55,Self-emp-not-inc,-0.6332046814304093,11th,-1.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,3.0,United-States,<=50K
1.25,Private,0.1980448241549152,HS-grad,-0.3333333333333333,Widowed,Craft-repair,Unmarried,Black,Female,0.0,0.0,0.0,United-States,<=50K
-0.1,Private,0.0741226481474542,Bachelors,1.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,1.0,United-States,<=50K
-0.2,Private,1.4156497337446865,Some-college,0.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.75,Private,-0.541940936702431,Bachelors,1.0,Never-married,Exec-managerial,Own-child,White,Female,0.0,0.0,-6.6,United-States,<=50K
1.75,Without-pay,-0.4758080297106789,HS-grad,-0.3333333333333333,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,3.0,United-States,<=50K
-0.2,Private,0.8412627038549773,HS-grad,-0.3333333333333333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,4.0,United-States,<=50K
0.85,Self-emp-not-inc,-0.697980290028853,9th,-1.6666666666666667,Married-civ-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Female,0.0,2163.0,-5.0,United-States,<=50K
-0.3,Private,0.7178401468879979,12th,-0.6666666666666666,Separated,Adm-clerical,Own-child,White,Male,0.0,0.0,0.0,Mexico,<=50K
