age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0.5,Self-emp-inc,-0.4585628458300546,Masters,1.3333333333333333,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.35,Local-gov,0.026642185333683,Some-college,0.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,-0.4,United-States,>50K
-0.3,Private,-0.0039095189917687,Bachelors,1.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
0.5,Private,-0.2279636776957569,Bachelors,1.0,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.0,1564.0,2.2,United-States,>50K
-0.6,Private,-0.4821864994608278,11th,-1.0,Married-civ-spouse,Transport-moving,Husband,White,Male,5178.0,0.0,0.0,Poland,>50K
0.2,Private,-0.7108704612732791,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,4.0,United-States,>50K
0.4,Private,-0.5338637622146447,Prof-school,1.6666666666666667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,4.0,United-States,>50K
0.55,State-gov,-0.0517813500539172,Prof-school,1.6666666666666667,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024.0,0.0,2.0,United-States,>50K
0.25,Private,0.3489381013643763,HS-grad,-0.3333333333333333,Married-civ-spouse,Sales,Husband,Black,Male,0.0,0.0,0.0,United-States,>50K
0.35,Self-emp-inc,1.4557774696793695,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,1.0,United-States,>50K
0.1,Private,0.4979411532040153,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999.0,0.0,6.0,United-States,>50K
0.25,Private,3.533709713010496,Bachelors,1.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,1.0,United-States,>50K
0.95,Private,0.2539355408167938,Masters,1.3333333333333333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
0.1,,-0.6087066944787932,HS-grad,-0.3333333333333333,Married-civ-spouse,,Husband,White,Male,7298.0,0.0,0.0,United-States,>50K
0.25,Private,-0.4895059184038837,Prof-school,1.6666666666666667,Married-civ-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,15024.0,0.0,0.0,South,>50K
-0.45,Private,0.868117227280865,Some-college,0.0,Separated,Tech-support,Unmarried,White,Male,0.0,0.0,0.0,United-States,>50K
0.8,Private,1.6815636410570274,HS-grad,-0.3333333333333333,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688.0,0.0,1.6,United-States,>50K
1.55,Self-emp-inc,-0.4846845946632359,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
0.25,Private,0.2102438557266751,Bachelors,1.0,Married-civ-spouse,Craft-repair,Wife,Black,Female,0.0,0.0,-1.0,United-States,>50K
0.15,Local-gov,-0.2562421153870174,Some-college,0.0,Never-married,Protective-serv,Not-in-family,White,Male,0.0,2444.0,0.0,United-States,>50K
