age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
-0.1,Self-emp-not-inc,0.3934874658073219,HS-grad,-0.3333333333333333,Never-married,Machine-op-inspct,Own-child,White,Male,8614.0,0.0,0.0,United-States,>50K
0.4,Private,0.0005870523725659,9th,-1.6666666666666667,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0.0,0.0,0.0,United-States,>50K
0.95,Federal-gov,-0.9242244455269524,Masters,1.3333333333333333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,0.0,Portugal,>50K
0.8,Self-emp-not-inc,-0.3564407139556088,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,7688.0,0.0,-4.0,China,>50K
-0.3,Private,-0.6050844564353014,Bachelors,1.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.4,Self-emp-inc,-0.2211688587452067,Prof-school,1.6666666666666667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,-1.0,United-States,>50K
-0.05,Private,-0.4132557258423785,HS-grad,-0.3333333333333333,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,0.0,United-States,>50K
-0.25,Private,-0.4004238434860085,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,1.0,United-States,>50K
1.4,State-gov,0.2592648105819313,Masters,1.3333333333333333,Married-civ-spouse,Prof-specialty,Husband,White,Male,6514.0,0.0,-1.0,United-States,>50K
0.1,Private,1.5595233634353804,HS-grad,-0.3333333333333333,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
0.0,Private,-0.4967753754428914,Bachelors,1.0,Separated,Prof-specialty,Unmarried,White,Female,4934.0,0.0,-1.6,United-States,>50K
0.7,Local-gov,-0.2649604676434219,Doctorate,2.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1887.0,0.0,United-States,>50K
1.05,Private,-0.5539068127219662,Bachelors,1.0,Widowed,Exec-managerial,Unmarried,White,Male,8614.0,0.0,0.0,United-States,>50K
0.75,Self-emp-not-inc,-1.2540895900209423,Some-college,0.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,7688.0,0.0,6.4,United-States,>50K
-0.3,Private,0.3273795397675939,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
0.55,Private,0.4610359600804387,HS-grad,-0.3333333333333333,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
0.7,State-gov,-0.043154594621601,Doctorate,2.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
1.0,Local-gov,-1.0481799294704457,Masters,1.3333333333333333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.45,Self-emp-not-inc,1.58387979165886,Bachelors,1.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,4.0,United-States,>50K
0.0,Private,-0.7660367303264594,Bachelors,1.0,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0.0,0.0,-2.0,United-States,>50K
0.7,Private,-0.118438857038175,Bachelors,1.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,3.2,United-States,>50K
0.1,Private,-0.5937680851683924,Some-college,0.0,Married-civ-spouse,Sales,Husband,White,Male,4386.0,0.0,1.0,United-States,>50K
0.05,Private,2.30852724797342,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,4.6,United-States,>50K
0.3,Local-gov,-0.92347501696623,Bachelors,1.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,1.0,United-States,>50K
0.6,Private,-0.4164532877014609,HS-grad,-0.3333333333333333,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,4.0,United-States,>50K
-0.6,Private,0.214224154082512,Assoc-voc,0.3333333333333333,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,1887.0,0.0,United-States,>50K
0.95,Private,0.1274736346868845,Bachelors,1.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1902.0,5.0,United-States,>50K
0.2,Self-emp-inc,0.6238201704533627,Bachelors,1.0,Married-civ-spouse,Sales,Husband,White,Male,7688.0,0.0,1.0,United-States,>50K
-0.1,Private,-1.2086076033690978,Prof-school,1.6666666666666667,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024.0,0.0,4.0,United-States,>50K
0.0,Private,0.1231935649067585,Bachelors,1.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
1.2,Private,0.1672599642772386,HS-grad,-0.3333333333333333,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
1.45,Self-emp-not-inc,-0.6283417227697214,Masters,1.3333333333333333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,-4.0,United-States,>50K
-0.45,Private,-1.1723186070621152,Assoc-voc,0.3333333333333333,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999.0,0.0,2.0,United-States,>50K
-0.2,Private,0.2217933825458088,Some-college,0.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,15024.0,0.0,0.0,United-States,>50K
0.25,Self-emp-not-inc,0.1748541736925594,Prof-school,1.6666666666666667,Divorced,Prof-specialty,Unmarried,White,Female,7430.0,0.0,0.8,United-States,>50K
1.7,Private,-0.1229021204664776,Some-college,0.0,Widowed,Sales,Not-in-family,White,Male,0.0,0.0,-1.0,United-States,>50K
0.1,Local-gov,-0.2012507129980056,Masters,1.3333333333333333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
0.75,Private,0.1186220506863516,HS-grad,-0.3333333333333333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
-0.3,State-gov,-0.1620139643521814,Assoc-voc,0.3333333333333333,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
0.05,Private,-0.561501022137287,Assoc-acdm,0.6666666666666666,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.25,Private,0.4374955762897457,HS-grad,-0.3333333333333333,Married-civ-spouse,Sales,Husband,White,Male,5178.0,0.0,2.0,United-States,>50K
0.3,Self-emp-inc,0.2653684898598152,Some-college,0.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,2.0,United-States,>50K
0.6,Federal-gov,-0.4093087354225736,Bachelors,1.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
-0.05,Private,-0.7406227751339604,Assoc-voc,0.3333333333333333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.35,Private,1.5794165282305574,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
-0.2,Self-emp-not-inc,-1.1733761340311346,Assoc-voc,0.3333333333333333,Divorced,Craft-repair,Not-in-family,White,Male,10520.0,0.0,8.0,United-States,>50K
0.45,Private,1.5151072307365634,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,4.0,United-States,>50K
0.45,Private,0.1233934125229512,Bachelors,1.0,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0.0,2415.0,-1.0,Philippines,>50K
-0.3,Local-gov,0.1200792728877564,Masters,1.3333333333333333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,10.0,United-States,>50K
-0.6,Private,1.8193502454378536,Some-college,0.0,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0.0,0.0,3.2,United-States,>50K
-0.5,Private,1.8953922633991585,HS-grad,-0.3333333333333333,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,0.0,,>50K
0.2,Self-emp-inc,-0.2418364330531303,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,-1.0,United-States,>50K
0.95,Private,-0.5162854989736992,Bachelors,1.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,5178.0,0.0,0.8,United-States,>50K
-0.2,Self-emp-not-inc,1.3040015321650575,Some-college,0.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.7,Self-emp-inc,-0.1265826473980256,Prof-school,1.6666666666666667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
-0.15,Private,0.8257828405840547,Assoc-acdm,0.6666666666666666,Married-civ-spouse,Sales,Husband,Black,Male,0.0,1902.0,2.0,United-States,>50K
0.6,Private,-0.5020796642560048,HS-grad,-0.3333333333333333,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
0.2,Private,0.1411548694120732,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.3,Private,-0.0118950966554668,Bachelors,1.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,6.0,United-States,>50K
0.75,Private,0.2713888992976189,HS-grad,-0.3333333333333333,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
0.85,Private,-0.9048725346922972,Masters,1.3333333333333333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1902.0,4.0,United-States,>50K
0.0,Private,-0.7030264423377175,Some-college,0.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,7298.0,0.0,1.0,United-States,>50K
-0.25,State-gov,-0.7172988929274762,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,0.0,United-States,>50K
1.1,Private,0.6365854369376683,Bachelors,1.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,3.0,United-States,>50K
-0.1,Private,0.2731292389552965,Masters,1.3333333333333333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,4.0,United-States,>50K
0.6,Private,-0.3849273262470699,Some-college,0.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.8,Private,-0.0365596232872434,HS-grad,-0.3333333333333333,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
0.05,,-0.8981693125658352,Masters,1.3333333333333333,Married-civ-spouse,,Wife,Black,Female,15024.0,0.0,-7.6,United-States,>50K
0.65,Private,0.2538522709767136,Masters,1.3333333333333333,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,2.0,United-States,>50K
-0.35,Private,-0.8574919956866223,Some-college,0.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
-0.25,Self-emp-inc,0.4628345886261725,Bachelors,1.0,Married-civ-spouse,Sales,Husband,White,Male,7688.0,0.0,4.0,United-States,>50K
0.5,Private,-0.2427274203419892,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,4.0,United-States,>50K
1.25,State-gov,0.1896179163387916,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
1.1,Local-gov,1.043458529537894,Masters,1.3333333333333333,Widowed,Prof-specialty,Unmarried,White,Female,4787.0,0.0,4.0,United-States,>50K
0.35,Private,0.6788948426824546,Masters,1.3333333333333333,Married-civ-spouse,Exec-managerial,Husband,Black,Male,5178.0,0.0,4.0,United-States,>50K
0.0,Self-emp-inc,0.0479093024901845,Some-college,0.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
-0.75,Self-emp-not-inc,0.2063051922908782,HS-grad,-0.3333333333333333,Never-married,Prof-specialty,Unmarried,White,Female,99999.0,0.0,0.0,Dominican-Republic,>50K
0.15,Self-emp-not-inc,-0.060607953102426,Assoc-acdm,0.6666666666666666,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
-0.6,Private,0.7130271501313582,Some-college,0.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,0.0,United-States,>50K
1.1,State-gov,0.1880857512813146,Masters,1.3333333333333333,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,2.0,Philippines,>50K
-0.5,Self-emp-not-inc,2.014376537889859,HS-grad,-0.3333333333333333,Never-married,Craft-repair,Unmarried,White,Male,9562.0,0.0,2.0,United-States,>50K
0.35,Private,-0.5122136037937739,Masters,1.3333333333333333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
-0.2,Private,-0.4361882398004855,HS-grad,-0.3333333333333333,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,0.8,United-States,>50K
-0.65,Private,-1.288238551437862,Assoc-voc,0.3333333333333333,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,-2.0,United-States,>50K
-0.2,Private,1.4878530120782902,Bachelors,1.0,Never-married,Prof-specialty,Not-in-family,White,Female,10520.0,0.0,1.0,United-States,>50K
1.05,Private,1.147920543918595,HS-grad,-0.3333333333333333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
-0.4,Private,-0.2097858716062335,Prof-school,1.6666666666666667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,2.0,Canada,>50K
0.4,Private,0.5462376604505731,Some-college,0.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
1.1,Private,-0.4978412293959189,HS-grad,-0.3333333333333333,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
-0.05,Private,0.3934874658073219,HS-grad,-0.3333333333333333,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.0,0.0,0.0,United-States,>50K
0.7,Self-emp-not-inc,-0.8658772685827056,Masters,1.3333333333333333,Divorced,Prof-specialty,Unmarried,White,Male,0.0,0.0,4.0,United-States,>50K
0.55,Federal-gov,-0.6310646465403463,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688.0,0.0,0.0,United-States,>50K
0.6,Private,0.7484085051814658,Bachelors,1.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
-0.1,Private,-0.8115853328503683,Masters,1.3333333333333333,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,1.0,United-States,>50K
1.5,,-0.1727141388024964,Prof-school,1.6666666666666667,Married-civ-spouse,,Husband,White,Male,6418.0,0.0,-6.0,United-States,>50K
0.0,Private,0.1947390115037284,Assoc-acdm,0.6666666666666666,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
