age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0.0,Self-emp-inc,-0.4285857034011566,Assoc-voc,0.3333333333333333,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,4.0,United-States,>50K
-0.35,Private,-0.6445959955533905,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,0.0,0.0,0.0,Greece,>50K
0.55,Private,0.0942406415108479,Some-college,0.0,Married-civ-spouse,Craft-repair,Husband,White,Male,7688.0,0.0,0.0,United-States,>50K
-0.1,Local-gov,0.274195092908324,Some-college,0.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,4.2,United-States,>50K
0.8,Private,1.5722386680156382,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,99999.0,0.0,2.0,India,>50K
0.0,Private,-0.6619993921301675,Bachelors,1.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,-4.8,,>50K
0.25,Self-emp-inc,-0.4901554231565098,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,4.0,United-States,>50K
0.15,Private,-1.0433336247777736,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,2.0,,>50K
0.2,Private,1.3577938488569132,Bachelors,1.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,0.0,United-States,>50K
0.2,Federal-gov,3.214136720750428,Masters,1.3333333333333333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,0.0,United-States,>50K
0.45,Local-gov,2.5240212671171567,Bachelors,1.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,1.0,United-States,>50K
0.5,,-0.23685689661633,Bachelors,1.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,-0.8,United-States,>50K
0.8,Local-gov,0.2047480462813771,Masters,1.3333333333333333,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688.0,0.0,6.0,United-States,>50K
-0.15,Private,-0.0614156705512047,HS-grad,-0.3333333333333333,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,2.0,United-States,>50K
0.4,Self-emp-inc,-1.199531190800348,Bachelors,1.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,-0.4,United-States,>50K
0.25,Private,0.6698600650337451,HS-grad,-0.3333333333333333,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,4.0,United-States,>50K
0.75,Private,-0.1452350915760066,Doctorate,2.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,5.0,United-States,>50K
