age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
-0.95,Private,-0.7885112601641249,HS-grad,-0.3333333333333333,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,-3.0,United-States,<=50K
-0.95,Private,0.2236586269636069,Some-college,0.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,-2.8,United-States,<=50K
-0.15,Self-emp-not-inc,-1.21910793020322,HS-grad,-0.3333333333333333,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.35,Private,-0.7302640070279744,7th-8th,-2.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,0.0,Mexico,<=50K
-0.45,Private,0.0879870765208195,Bachelors,1.0,Never-married,Transport-moving,Unmarried,White,Male,0.0,0.0,-4.0,United-States,<=50K
-0.65,,-0.4911962961575132,Bachelors,1.0,Never-married,,Own-child,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.4,Private,0.8260159961362794,Some-college,0.0,Never-married,Transport-moving,Unmarried,White,Male,0.0,0.0,0.0,United-States,<=50K
-1.0,Private,0.5389765303955734,10th,-1.3333333333333333,Never-married,Sales,Own-child,White,Female,594.0,0.0,-5.6,United-States,<=50K
0.7,Local-gov,0.438186715962412,Assoc-acdm,0.6666666666666666,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,-0.4,Cuba,<=50K
-0.7,Private,-0.3716291327862505,Bachelors,1.0,Never-married,Sales,Unmarried,White,Female,0.0,0.0,-4.0,United-States,<=50K
-0.8,Private,-0.1423373011412131,Some-college,0.0,Never-married,Tech-support,Own-child,Black,Female,0.0,0.0,-7.2,United-States,<=50K
-1.0,,-0.9439427436579608,10th,-1.3333333333333333,Never-married,,Own-child,White,Male,0.0,0.0,-2.0,United-States,<=50K
-0.45,Private,1.1366707885237506,Some-college,0.0,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,4.0,United-States,<=50K
0.65,Private,1.1256125537610906,Assoc-acdm,0.6666666666666666,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,0.0,United-States,<=50K
0.65,Self-emp-not-inc,-0.6875382520827868,HS-grad,-0.3333333333333333,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,-5.6,,<=50K
1.0,Self-emp-inc,-0.6178330689515911,Bachelors,1.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,8.0,United-States,<=50K
-0.05,Private,-0.8753450493998326,HS-grad,-0.3333333333333333,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,3.0,United-States,<=50K
-0.1,Private,-0.0319464741467964,Some-college,0.0,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.4,Private,-0.071616225961038,Assoc-voc,0.3333333333333333,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,0.0,United-States,<=50K
0.0,Private,1.7087595708272445,Some-college,0.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,-0.4,United-States,<=50K
0.2,Private,1.0323586598551937,Assoc-voc,0.3333333333333333,Divorced,Craft-repair,Not-in-family,White,Female,0.0,0.0,0.0,United-States,<=50K
-0.95,Private,0.433590220789981,Some-college,0.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,-2.0,United-States,<=50K
-0.6,Private,-0.8364163991623054,HS-grad,-0.3333333333333333,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,0.0,Philippines,<=50K
-0.15,Private,1.066441005400049,Assoc-voc,0.3333333333333333,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0.0,0.0,0.0,United-States,<=50K
0.95,Local-gov,0.1676430055416078,12th,-0.6666666666666666,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,0.0,United-States,<=50K
1.1,Private,-0.9301615851246756,HS-grad,-0.3333333333333333,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,0.0,United-States,<=50K
-0.65,Private,-0.5316987463725575,Some-college,0.0,Never-married,Craft-repair,Unmarried,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.85,Private,0.9571576672787,11th,-1.0,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,4.0,United-States,<=50K
0.0,Private,-0.1993021987401273,Some-college,0.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,0.0,Hong,<=50K
-0.2,Private,0.0892361241220236,HS-grad,-0.3333333333333333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,0.0,United-States,<=50K
0.25,Private,1.5442100398446186,HS-grad,-0.3333333333333333,Divorced,Craft-repair,Unmarried,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.35,Private,-0.9512288546649846,HS-grad,-0.3333333333333333,Married-civ-spouse,Sales,Own-child,Asian-Pac-Islander,Female,0.0,0.0,0.0,United-States,<=50K
-0.05,Private,0.0671779434847595,Assoc-acdm,0.6666666666666666,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,2.0,United-States,<=50K
-0.95,Private,-0.409142195742413,12th,-0.6666666666666666,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,-6.0,United-States,<=50K
1.25,Private,0.133419101268616,HS-grad,-0.3333333333333333,Divorced,Machine-op-inspct,Not-in-family,White,Female,2174.0,0.0,0.0,United-States,<=50K
0.25,State-gov,-0.3426429014543077,Some-college,0.0,Married-civ-spouse,Protective-serv,Husband,Black,Male,0.0,0.0,1.6,United-States,<=50K
0.85,Private,-0.0696094228151034,Some-college,0.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,0.0,Italy,<=50K
0.4,Private,-0.043171248589617,Some-college,0.0,Divorced,Protective-serv,Not-in-family,White,Male,0.0,0.0,6.0,United-States,<=50K
-1.0,Private,0.1092125587572809,9th,-1.6666666666666667,Never-married,Other-service,Own-child,White,Male,1055.0,0.0,-3.2,United-States,<=50K
