age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
-0.15,Private,0.0755299084448108,Bachelors,1.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024.0,0.0,-0.8,United-States,>50K
-0.95,Private,-0.7885112601641249,HS-grad,-0.3333333333333333,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,-3.0,United-States,<=50K
-0.95,Private,0.2236586269636069,Some-college,0.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,-2.8,United-States,<=50K
-0.15,Self-emp-not-inc,-1.21910793020322,HS-grad,-0.3333333333333333,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.35,Private,-0.7302640070279744,7th-8th,-2.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,0.0,Mexico,<=50K
-0.45,Private,0.0879870765208195,Bachelors,1.0,Never-married,Transport-moving,Unmarried,White,Male,0.0,0.0,-4.0,United-States,<=50K
-0.2,State-gov,-0.4738012265647444,Bachelors,1.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,4.0,United-States,>50K
-0.65,,-0.4911962961575132,Bachelors,1.0,Never-married,,Own-child,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.4,Private,0.8260159961362794,Some-college,0.0,Never-married,Transport-moving,Unmarried,White,Male,0.0,0.0,0.0,United-States,<=50K
-1.0,Private,0.5389765303955734,10th,-1.3333333333333333,Never-married,Sales,Own-child,White,Female,594.0,0.0,-5.6,United-States,<=50K
0.7,Local-gov,0.438186715962412,Assoc-acdm,0.6666666666666666,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,-0.4,Cuba,<=50K
-0.7,Private,-0.3716291327862505,Bachelors,1.0,Never-married,Sales,Unmarried,White,Female,0.0,0.0,-4.0,United-States,<=50K
-0.8,Private,-0.1423373011412131,Some-college,0.0,Never-married,Tech-support,Own-child,Black,Female,0.0,0.0,-7.2,United-States,<=50K
-1.0,,-0.9439427436579608,10th,-1.3333333333333333,Never-married,,Own-child,White,Male,0.0,0.0,-2.0,United-States,<=50K
-0.45,Private,1.1366707885237506,Some-college,0.0,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,4.0,United-States,<=50K
0.65,Private,1.1256125537610906,Assoc-acdm,0.6666666666666666,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,0.0,United-States,<=50K
0.65,Self-emp-not-inc,-0.6875382520827868,HS-grad,-0.3333333333333333,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,-5.6,,<=50K
1.0,Self-emp-inc,-0.6178330689515911,Bachelors,1.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,8.0,United-States,<=50K
