age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
-0.25,Private,2.02137953144061,HS-grad,-0.3333333333333333,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.0,United-States,<=50K
0.15,Self-emp-not-inc,-0.5510256762551887,HS-grad,-0.3333333333333333,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,-2.0,United-States,<=50K
0.05,Private,-0.5816523234367128,Assoc-voc,0.3333333333333333,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,-0.4,United-States,<=50K
-0.85,Private,0.1149415237548036,HS-grad,-0.3333333333333333,Married-civ-spouse,Other-service,Other-relative,White,Female,0.0,0.0,0.0,United-States,<=50K
-0.9,Private,-0.3483885204198465,11th,-1.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,-3.2,United-States,<=50K
-0.45,Private,-1.2260026729618665,Assoc-acdm,0.6666666666666666,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.75,Private,-0.0188314743341535,HS-grad,-0.3333333333333333,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,0.0,United-States,<=50K
0.25,Private,0.1867700878080463,Some-college,0.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,0.0,United-States,<=50K
-0.3,Private,2.2334095252370068,Some-college,0.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,0.0,Mexico,<=50K
-0.05,Private,0.2515873313265301,Prof-school,1.6666666666666667,Divorced,Prof-specialty,Not-in-family,White,Male,99999.0,0.0,1.0,United-States,>50K
0.15,Private,-0.3560659996752476,HS-grad,-0.3333333333333333,Separated,Machine-op-inspct,Unmarried,Black,Female,0.0,0.0,0.0,United-States,<=50K
1.05,Private,0.0662952831799086,7th-8th,-2.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,0.0,United-States,<=50K
0.3,Private,-0.2585153820212088,Bachelors,1.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,-2.0,United-States,>50K
-0.1,,0.6587102334469966,HS-grad,-0.3333333333333333,Never-married,,Own-child,White,Male,0.0,0.0,0.0,United-States,<=50K
0.25,Local-gov,-0.4315501097080143,Bachelors,1.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,0.0,United-States,>50K
-0.65,Private,1.2182419238663853,HS-grad,-0.3333333333333333,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,0.0,United-States,<=50K
-0.85,Private,1.114754166614623,Some-college,0.0,Never-married,Protective-serv,Own-child,White,Male,0.0,0.0,0.0,Germany,<=50K
0.25,Private,0.0558948801538826,HS-grad,-0.3333333333333333,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,-4.8,United-States,<=50K
-0.05,,0.0754299846367145,Assoc-voc,0.3333333333333333,Divorced,,Own-child,White,Male,0.0,0.0,2.0,United-States,<=50K
0.9,Self-emp-not-inc,0.8784177064987947,Prof-school,1.6666666666666667,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,-1.0,United-States,<=50K
-0.55,Private,-0.4417923000378878,Some-college,0.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,0.0,United-States,<=50K
1.1,Private,0.020821623512072,HS-grad,-0.3333333333333333,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,0.0,United-States,<=50K
